"Timestamp","Какую лекцию вы посмотрели?","Как вам понравилась лекция","Лекция была познавательной? Вы узнали что-то новое и полезное?","Материал научный? Нет ли логических ошибок, есть ли данные экспериментов и исследований?  ","Как дела с повествованием? Рассказ складывается в целостную и гладкую историю?","Как вам кажется, лектор харизматичный? ","А что с развлекательность частью? Интересно ли слушать автора и вовлекаться в лекцию?","Оцените качество видео/звука в лекции","Оцените качество слайдов","Оцените, насколько лектор владеет материалом","Последний вопрос :) Вы сами из 15х4?"
"2017/08/01 5:11:10 PM GMT+3","15 минут о мультиках Дисней","4","2","1","5","4","5","4","5","4","Да, я в секте"
"2017/08/01 5:12:01 PM GMT+3","15 минут о ВИЧ-диссидентах","4","4","5","5","4","4","4","4","5","Да, я в секте"
"2017/08/01 5:16:07 PM GMT+3","15 минут о бессмертии","2","3","4","2","2","2","2","2","1","Да, я в секте"
"2017/08/02 10:44:32 AM GMT+3","15 минут о мультиках Дисней","2","2","1","3","4","4","4","3","1","Да, я в секте"
"2017/08/02 11:06:48 AM GMT+3","15 минут о викингах","4","4","3","5","4","4","3","4","4","Да, я в секте"
"2017/08/02 11:10:57 AM GMT+3","15 минут об антибиотиках","5","5","5","4","4","3","4","4","5","Да, я в секте"
"2017/08/02 12:33:02 PM GMT+3","15 минут о говорщих обезьянах","4","4","4","3","4","4","5","4","4","Да, я в секте"
"2017/08/02 1:03:20 PM GMT+3","15 минут о говорщих обезьянах","5","5","5","4","5","5","4","3","4","Нет, я только иногда смотрю ваши ролики / хожу на ивенты"
"2017/08/02 1:19:29 PM GMT+3","15 минут о бессмертии","4","5","4","4","3","4","4","4","4","Нет, я только иногда смотрю ваши ролики / хожу на ивенты"
"2017/08/02 1:23:39 PM GMT+3","15 минут об эволюционной экономике","5","4","4","5","4","5","4","3","4","Нет, я только иногда смотрю ваши ролики / хожу на ивенты"
"2017/08/02 1:27:44 PM GMT+3","15 минут о мультиках Дисней","5","4","3","5","5","5","4","5","4","Нет, я только иногда смотрю ваши ролики / хожу на ивенты"
"2017/08/02 2:04:31 PM GMT+3","15 минут о боли","5","4","4","5","5","5","4","4","5","Нет, я только иногда смотрю ваши ролики / хожу на ивенты"
"2017/08/02 2:08:40 PM GMT+3","15 минут о ВИЧ-диссидентах","4","4","5","4","5","3","5","3","4","Да, я в секте"
"2017/08/02 5:01:15 PM GMT+3","15 минут о боли","4","4","5","4","5","5","5","5","4","Нет, я только иногда смотрю ваши ролики / хожу на ивенты"
"2017/08/02 5:48:38 PM GMT+3","15 минут о боли","3","2","3","3","4","4","4","4","3","Нет, я только иногда смотрю ваши ролики / хожу на ивенты"
"2017/08/02 8:17:10 PM GMT+3","15 минут о мультиках Дисней","2","1","1","4","3","3","3","2","3","Нет, я только иногда смотрю ваши ролики / хожу на ивенты"
"2017/08/03 12:51:49 AM GMT+3","15 минут о боли","4","5","5","5","5","4","4","4","5","Нет, я только иногда смотрю ваши ролики / хожу на ивенты"
"2017/08/03 7:18:48 AM GMT+3","15 минут о мультиках Дисней","4","4","5","5","4","5","3","5","5","Нет, я только иногда смотрю ваши ролики / хожу на ивенты"
"2017/08/03 11:32:38 AM GMT+3","15 минут о викингах","5","5","4","4","5","4","4","4","5","Да, я в секте"
"2017/08/03 1:50:59 PM GMT+3","15 минут о говорщих обезьянах","5","5","5","5","5","5","5","5","5","Да, я в секте"
"2017/08/03 3:53:09 PM GMT+3","15 минут об эволюционной экономике","1","1","1","3","2","2","3","2","3","Да, я в секте"
"2017/08/03 3:53:44 PM GMT+3","15 минут о говорщих обезьянах","5","5","5","4","3","3","4","5","5","Да, я в секте"
"2017/08/03 4:09:59 PM GMT+3","15 минут о мультиках Дисней","4","4","3","4","4","4","2","4","4","Да, я в секте"
"2017/08/04 11:54:48 AM GMT+3","15 минут о мультиках Дисней","2","2","3","4","5","5","4","4","5","Нет, я только иногда смотрю ваши ролики / хожу на ивенты"
"2017/08/04 12:36:45 PM GMT+3","15 минут о ВИЧ-диссидентах","2","3","4","5","3","3","4","5","4","Нет, я только иногда смотрю ваши ролики / хожу на ивенты"
"2017/08/04 4:50:30 PM GMT+3","15 минут о говорщих обезьянах","5","5","5","5","4","5","5","3","4","Да, я в секте"
"2017/08/05 10:12:08 AM GMT+3","15 минут об антибиотиках","3","2","4","5","1","2","5","4","5","Да, я в секте"
"2017/08/05 5:12:25 PM GMT+3","15 минут о викингах","3","4","4","4","4","4","2","3","5","Да, я в секте"
"2017/08/07 2:43:47 PM GMT+3","15 минут о ВИЧ-диссидентах","4","5","5","4","3","3","3","1","5","Нет, я только иногда смотрю ваши ролики / хожу на ивенты"
"2017/08/07 2:45:40 PM GMT+3","15 минут о ВИЧ-диссидентах","4","5","5","4","3","2","2","1","5","Нет, я только иногда смотрю ваши ролики / хожу на ивенты"
"2017/08/07 2:54:06 PM GMT+3","15 минут об эволюционной экономике","4","3","3","3","3","5","3","3","4","Нет, я только иногда смотрю ваши ролики / хожу на ивенты"
"2017/08/07 4:23:05 PM GMT+3","15 минут о говорщих обезьянах","5","5","4","5","4","5","4","4","4","Нет, я только иногда смотрю ваши ролики / хожу на ивенты"
"2017/08/07 4:55:46 PM GMT+3","15 минут о боли","5","5","5","5","5","4","4","5","5","Нет, я только иногда смотрю ваши ролики / хожу на ивенты"
