[2017-08-01 10:04:42] survey.INFO: Lecture shown for survey, id 207 [] []
[2017-08-01 10:05:17] survey.INFO: Lecture shown for survey, id 104 [] []
[2017-08-01 10:06:40] survey.INFO: Lecture shown for survey, id 94 [] []
[2017-08-01 10:08:13] survey.INFO: Lecture shown for survey, id 63 [] []
[2017-08-01 10:08:28] survey.INFO: Lecture shown for survey, id 75 [] []
[2017-08-01 10:09:19] survey.INFO: Lecture shown for survey, id 94 [] []
[2017-08-01 10:10:32] survey.INFO: Lecture shown for survey, id 82 [] []
[2017-08-01 10:11:16] survey.INFO: Lecture shown for survey, id 207 [] []
[2017-08-01 10:11:23] survey.INFO: Lecture shown for survey, id 104 [] []
[2017-08-01 10:11:25] survey.INFO: Lecture shown for survey, id 63 [] []
[2017-08-01 10:11:26] survey.INFO: Lecture shown for survey, id 63 [] []
[2017-08-01 10:11:28] survey.INFO: Lecture shown for survey, id 207 [] []
[2017-08-01 10:11:29] survey.INFO: Lecture shown for survey, id 75 [] []
[2017-08-01 10:11:32] survey.INFO: Lecture shown for survey, id 94 [] []
[2017-08-01 10:15:11] survey.INFO: Lecture shown for survey, id 12 [] []
[2017-08-01 10:17:51] survey.INFO: Lecture shown for survey, id 104 [] []
[2017-08-01 10:17:55] survey.INFO: Lecture shown for survey, id 82 [] []
[2017-08-01 10:17:58] survey.INFO: Lecture shown for survey, id 12 [] []
[2017-08-01 10:20:34] survey.INFO: Lecture shown for survey, id 63 [] []
[2017-08-01 10:21:17] survey.INFO: Lecture shown for survey, id 207 [] []
[2017-08-01 10:21:21] survey.INFO: Lecture shown for survey, id 104 [] []
[2017-08-01 10:21:26] survey.INFO: Lecture shown for survey, id 75 [] []
[2017-08-01 10:23:44] survey.INFO: Lecture shown for survey, id 75 [] []
[2017-08-01 10:34:36] survey.INFO: Lecture shown for survey, id 12 [] []
[2017-08-01 10:35:15] survey.INFO: Lecture shown for survey, id 12 [] []
[2017-08-01 10:35:18] survey.INFO: Lecture shown for survey, id 207 [] []
[2017-08-01 10:35:20] survey.INFO: Lecture shown for survey, id 104 [] []
[2017-08-01 10:35:22] survey.INFO: Lecture shown for survey, id 75 [] []
[2017-08-01 10:35:24] survey.INFO: Lecture shown for survey, id 63 [] []
[2017-08-01 11:07:36] survey.INFO: Lecture shown for survey, id 63 [] []
[2017-08-01 13:11:16] survey.INFO: Lecture shown for survey, id 104 [] []
[2017-08-01 13:11:52] survey.INFO: Lecture shown for survey, id 104 [] []
[2017-08-01 13:12:26] survey.INFO: Lecture shown for survey, id 75 [] []
[2017-08-01 14:33:43] survey.INFO: Lecture shown for survey, id 94 [] []
[2017-08-01 16:24:14] survey.INFO: Lecture shown for survey, id 82 [] []
[2017-08-01 16:28:25] survey.INFO: Lecture shown for survey, id 82 [] []
[2017-08-01 16:39:55] survey.INFO: Lecture shown for survey, id 82 [] []
[2017-08-01 19:56:12] survey.INFO: Lecture shown for survey, id 104 [] []
[2017-08-01 23:23:38] survey.INFO: Lecture shown for survey, id 94 [] []
[2017-08-01 23:23:44] survey.INFO: Lecture shown for survey, id 12 [] []
[2017-08-01 23:23:46] survey.INFO: Lecture shown for survey, id 80 [] []
[2017-08-01 23:23:49] survey.INFO: Lecture shown for survey, id 94 [] []
[2017-08-01 23:23:50] survey.INFO: Lecture shown for survey, id 207 [] []
[2017-08-01 23:23:52] survey.INFO: Lecture shown for survey, id 104 [] []
[2017-08-01 23:23:54] survey.INFO: Lecture shown for survey, id 75 [] []
[2017-08-01 23:23:56] survey.INFO: Lecture shown for survey, id 63 [] []
[2017-08-01 23:23:57] survey.INFO: Lecture shown for survey, id 80 [] []
[2017-08-01 23:24:00] survey.INFO: Lecture shown for survey, id 75 [] []
[2017-08-01 23:24:01] survey.INFO: Lecture shown for survey, id 75 [] []
[2017-08-01 23:24:03] survey.INFO: Lecture shown for survey, id 12 [] []
[2017-08-01 23:24:04] survey.INFO: Lecture shown for survey, id 80 [] []
[2017-08-01 23:24:06] survey.INFO: Lecture shown for survey, id 207 [] []
[2017-08-01 23:24:08] survey.INFO: Lecture shown for survey, id 63 [] []
[2017-08-01 23:24:09] survey.INFO: Lecture shown for survey, id 75 [] []
[2017-08-01 23:24:11] survey.INFO: Lecture shown for survey, id 80 [] []
[2017-08-01 23:24:12] survey.INFO: Lecture shown for survey, id 75 [] []
[2017-08-01 23:24:14] survey.INFO: Lecture shown for survey, id 12 [] []
[2017-08-01 23:24:15] survey.INFO: Lecture shown for survey, id 63 [] []
[2017-08-01 23:24:18] survey.INFO: Lecture shown for survey, id 104 [] []
[2017-08-01 23:24:19] survey.INFO: Lecture shown for survey, id 63 [] []
[2017-08-01 23:24:21] survey.INFO: Lecture shown for survey, id 80 [] []
[2017-08-02 00:45:52] survey.INFO: Lecture shown for survey, id 63 [] []
[2017-08-02 02:04:57] survey.INFO: Lecture shown for survey, id 75 [] []
[2017-08-02 02:58:10] survey.INFO: Lecture shown for survey, id 63 [] []
[2017-08-02 03:00:55] survey.INFO: Lecture shown for survey, id 104 [] []
[2017-08-02 03:41:35] survey.INFO: Lecture shown for survey, id 82 [] []
[2017-08-02 03:44:12] survey.INFO: Lecture shown for survey, id 104 [] []
[2017-08-02 03:44:29] survey.INFO: Lecture shown for survey, id 75 [] []
[2017-08-02 03:44:36] survey.INFO: Lecture shown for survey, id 207 [] []
[2017-08-02 03:44:41] survey.INFO: Lecture shown for survey, id 75 [] []
[2017-08-02 03:44:53] survey.INFO: Lecture shown for survey, id 80 [] []
[2017-08-02 03:45:00] survey.INFO: Lecture shown for survey, id 82 [] []
[2017-08-02 03:45:12] survey.INFO: Lecture shown for survey, id 94 [] []
[2017-08-02 03:45:13] survey.INFO: Lecture shown for survey, id 75 [] []
[2017-08-02 03:45:20] survey.INFO: Lecture shown for survey, id 104 [] []
[2017-08-02 03:45:32] survey.INFO: Lecture shown for survey, id 94 [] []
[2017-08-02 03:45:35] survey.INFO: Lecture shown for survey, id 104 [] []
[2017-08-02 03:58:57] survey.INFO: Lecture shown for survey, id 207 [] []
[2017-08-02 04:02:53] survey.INFO: Lecture shown for survey, id 80 [] []
[2017-08-02 04:03:06] survey.INFO: Lecture shown for survey, id 12 [] []
[2017-08-02 04:03:11] survey.INFO: Lecture shown for survey, id 104 [] []
[2017-08-02 04:03:15] survey.INFO: Lecture shown for survey, id 63 [] []
[2017-08-02 04:03:18] survey.INFO: Lecture shown for survey, id 80 [] []
[2017-08-02 04:03:22] survey.INFO: Lecture shown for survey, id 207 [] []
[2017-08-02 04:09:03] survey.INFO: Lecture shown for survey, id 94 [] []
[2017-08-02 04:09:35] survey.INFO: Lecture shown for survey, id 104 [] []
